User 0: 5808,259887,178279,292504,3297,98087,10103,246377,1013224538,3641188801
User 13880645: 1013224538,2652953122,15656,37855,5808,178279,259887,297160,248358,252920
User 12571824: 15656,1372047272,5808,667788361,4440747756,623826388,65,10100,259887,1000
User 13004253: 15656,292504,623826388,1372047272,299312,5808,26946,178279,3641188801,98087
User 16779219: 65,15656,10100,3297,3918,10103,85381,4172036782,98087,1422147710
User 16442524: 140017,293326,274486,15272,13276,7990,167310752,180496,192159,298274
User 18836076: 1367369652,11908,167310752,145736,1013224538,3641188801,62564,10103,606565167,180183
User 16059753: 178279,1126068419,192159,246377,3412,28723,297160,26946,4172036782,259887
User 18172623: 28723,22766,193792,1372047272,15656,19735,22781,291927,10103,145736
User 11437634: 1372047272,15272,279706,98087,5808,1359800743,192159,140017,16232,4027624215
User 12542450: 15656,5808,2652953122,1013224538,178279,84480,259887,37855,3918,297160
User 15927166: 10093,29060,292504,110172,234062,1367369652,4594778566,175477,180496,4027624215
User 15514336: 62564,84480,25840,3903,29060,9031920571,1126068419,6964369749,287754,3412
User 15732650: 1126068419,295161,287754,29060,178279,984511820,10100,572421629,37855,5808
User 12791621: 29060,15656,1013224538,1126068419,984511820,10100,37855,259887,4027624215,10103
User 18952261: 15656,98087,5808,1126068419,85381,192159,259887,19735,10103,62564
User 17295976: 287754,29060,37855,259887,267557,4027624215,298274,1013224538,251007,286651
User 10370124: 84480,74707,72608,175765,282928,47291,286875,29060,5081709038,65
User 15386538: 283846,932399147,4058681588,267557,10100,846629637,4378855865,110172,1921968352,29060
User 10611631: 1126068419,5808,1013224538,28723,10103,1422147710,29060,5258449130,1367369652,259887
User 13994812: 251007,1372047272,29060,5808,175477,1921968352,616980562,118081,699596682,704856507
User 15560224: 3224344976,5258449130,1029,30746,5798,62560,24708,3722686216,275397,4172036782
User 11517422: 5798,1029,834046950,4378855865,169119,6964432726,5928583379,118081,1182080600,259551
User 15794797: 5808,3297,178279,85577,1126068419,72608,282928,184728,145736,17115
User 19824820: 192159,74707,22766,5808,27240,295161,84469,281934,175466,18766
User 19801386: 295161,292504,178279,572421629,241637,10100,84498,6196535980,584964332,62564
User 16939016: 3297,29060,10100,4594778566,5258449130,102238,255230,499,271357,1565
User 13233424: 178279,15656,17115,4027624215,610483525,10103,3412,297160,1367369652,192159
User 10521730: 984511820,259887,15656,29060,282357,6964372893,1367369652,10093,3918,180183
User 18065146: 15272,555692794,3422,3297,30690,1371754294,6083,3641188801,110345,299312
User 16123839: 58682,5808,193792,110172,292504,1372047272,22766,5775,1395055222,178279
User 14692424: 15656,37855,271357,110172,85577,5258449130,72608,22766,562332391,28723
User 12934024: 5808,1013224538,37855,3297,28723,192159,85577,252920,3918,72608
User 12406461: 15656,1126068419,5808,3297,5775,1367369652,84480,29060,259887,28723
User 12441917: 178279,28723,98087,1126068419,5808,5993643095,3722686216,4486873654,614073139,1372047272
User 18507022: 72608,19735,15656,29060,4027624215,16232,287754,846629637,26946,3259744496
User 17666257: 22781,292504,192159,19735,60181,5812,1151208148,579302405,2652953122,1126068419
User 19894323: 1126068419,5808,85381,28723,292504,180183,29060,3918,19735,246377
User 17797252: 1126068419,51436,62564,37855,2652953122,85381,1013224538,22781,286651,238079
User 16882192: 47291,282357,15656,84408,62564,85381,84480,562332391,1013224538,271357
User 19928034: 259887,98087,1367369652,988423602,3641188801,17115,1422147710,246377,5987,241346
User 10577647: 267557,499,251733,274486,84480,286633,3297,6964382172,6964389719,24228
User 15244957: 178279,1013224538,248358,28723,37855,193792,2652953122,295161,10103,85577
User 15567127: 1126068419,5808,37855,15656,178279,16232,192159,1367369652,5775,287754
User 15604729: 15656,29060,178279,1367369652,10103,84480,37855,16232,932399147,10093
User 10702059: 5753595125,3385814678,287754,1029,13276,5303612776,30690,5928583379,4772759303,412221533
User 17821946: 65882,585050534,499,37855,1367369652,251733,5812,282357,3259744496,62564
User 18001760: 22781,242031,3259744496,15656,271357,602804672,499,19735,26946,295161
User 11901665: 15656,29060,1126068419,1367369652,5808,1013224538,259887,10103,271357,562332391
User 15131736: 178279,1126068419,1013224538,85577,5258449130,10103,5775,29060,562332391,98087
User 18404315: 178279,15656,259887,5808,1013224538,29060,85577,37855,84480,11908
User 11192626: 15656,1126068419,5808,178279,27240,29060,297160,1013224538,1367369652,72608
User 12789108: 5808,1126068419,98087,26946,297160,85381,29060,10103,27240,5504541424
User 17163115: 295161,5808,37855,259887,1013224538,178279,499,15656,29060,4027624215
